Periode;Daging Ayam Ras Segar
01/01/2018;
08/01/2018;35150
15/01/2018;35700
22/01/2018;35450
29/01/2018;33550
05/02/2018;34300
12/02/2018;34100
19/02/2018;33300
26/02/2018;32400
05/03/2018;32650
12/03/2018;34050
19/03/2018;35000
26/03/2018;34600
02/04/2018;33950
09/04/2018;34600
16/04/2018;34650
23/04/2018;34800
30/04/2018;34650
07/05/2018;36100
14/05/2018;37550
21/05/2018;38850
28/05/2018;37700
04/06/2018;37300
11/06/2018;40050
18/06/2018;45150
25/06/2018;39250
02/07/2018;37200
09/07/2018;38600
16/07/2018;40800
23/07/2018;40900
30/07/2018;39450
06/08/2018;36700
13/08/2018;36050
20/08/2018;36550
27/08/2018;35550
03/09/2018;33750
10/09/2018;33650
17/09/2018;33100
24/09/2018;31800
01/10/2018;31600
08/10/2018;33600
15/10/2018;34400
22/10/2018;33600
29/10/2018;33200
05/11/2018;32850
12/11/2018;33050
19/11/2018;33500
26/11/2018;34300
03/12/2018;35200
10/12/2018;35200
17/12/2018;36450
24/12/2018;
31/12/2018;39200
07/01/2019;35850
14/01/2019;33750
21/01/2019;34100
28/01/2019;33900
04/02/2019;33550
11/02/2019;33350
18/02/2019;33600
25/02/2019;33450
04/03/2019;32650
11/03/2019;32600
18/03/2019;33000
25/03/2019;32350
01/04/2019;32150
08/04/2019;33700
15/04/2019;34700
22/04/2019;34800
29/04/2019;35150
06/05/2019;37200
13/05/2019;34900
20/05/2019;33450
27/05/2019;36050
03/06/2019;38800
10/06/2019;36900
17/06/2019;32800
24/06/2019;30700
01/07/2019;31450
08/07/2019;34700
15/07/2019;36050
22/07/2019;35200
29/07/2019;34500
05/08/2019;34950
12/08/2019;36150
19/08/2019;33550
26/08/2019;32950
02/09/2019;31250
09/09/2019;31950
16/09/2019;32300
23/09/2019;31700
30/09/2019;32800
07/10/2019;32600
14/10/2019;33900
21/10/2019;34600
28/10/2019;34650
04/11/2019;35150
11/11/2019;35100
18/11/2019;34450
25/11/2019;34000
02/12/2019;33400
09/12/2019;33900
16/12/2019;34100
23/12/2019;34350
30/12/2019;34400
06/01/2020;33250
13/01/2020;32650
20/01/2020;32200
27/01/2020;32150
03/02/2020;32400
10/02/2020;32850
17/02/2020;34500
24/02/2020;34400
02/03/2020;33750
09/03/2020;34050
16/03/2020;34550
23/03/2020;33150
30/03/2020;32050
06/04/2020;29350
13/04/2020;30300
20/04/2020;28950
27/04/2020;28600
04/05/2020;30100
11/05/2020;32200
18/05/2020;35800
25/05/2020;
01/06/2020;
08/06/2020;39200
15/06/2020;39650
22/06/2020;37850
29/06/2020;39700
06/07/2020;38750
13/07/2020;35250
20/07/2020;33250
27/07/2020;32150
03/08/2020;34600
10/08/2020;32100
17/08/2020;
24/08/2020;30700
31/08/2020;30200
07/09/2020;31800
14/09/2020;29650
21/09/2020;31100
28/09/2020;29400
05/10/2020;30850
12/10/2020;30500
19/10/2020;31450
26/10/2020;32200
02/11/2020;33850
09/11/2020;34600
16/11/2020;34900
23/11/2020;34550
30/11/2020;34000
07/12/2020;33850
14/12/2020;35500
21/12/2020;35500
28/12/2020;35450
04/01/2021;34950
11/01/2021;35250
18/01/2021;34900
25/01/2021;34850
01/02/2021;33550
08/02/2021;34400
15/02/2021;34850
22/02/2021;33900
01/03/2021;34200
08/03/2021;34700
15/03/2021;35050
22/03/2021;34850
29/03/2021;35050
05/04/2021;37850
12/04/2021;40950
19/04/2021;39850
26/04/2021;37300
03/05/2021;37800
10/05/2021;38900
17/05/2021;40250
24/05/2021;36850
31/05/2021;35950
07/06/2021;34800
14/06/2021;35950
21/06/2021;35200
28/06/2021;33650
05/07/2021;32700
12/07/2021;32150
19/07/2021;32300
26/07/2021;30200
02/08/2021;31200
09/08/2021;33000
16/08/2021;32750
23/08/2021;31900
30/08/2021;33450
06/09/2021;34400
13/09/2021;34100
20/09/2021;33150
27/09/2021;33450
04/10/2021;33100
11/10/2021;34550
18/10/2021;34200
25/10/2021;34650
01/11/2021;34250
08/11/2021;34350
15/11/2021;34400
22/11/2021;34050
29/11/2021;34250
06/12/2021;35450
13/12/2021;35900
20/12/2021;36350
27/12/2021;37150
03/01/2022;37850
10/01/2022;38400
17/01/2022;39200
24/01/2022;38500
31/01/2022;36150
07/02/2022;34500
14/02/2022;34150
21/02/2022;33300
28/02/2022;
07/03/2022;34400
14/03/2022;35200
21/03/2022;35700
28/03/2022;36950
04/04/2022;39650
11/04/2022;37950
18/04/2022;37400
25/04/2022;39900
02/05/2022;
09/05/2022;40150
16/05/2022;
23/05/2022;34500
30/05/2022;35900
06/06/2022;38300
13/06/2022;38350
20/06/2022;36350
27/06/2022;36700
04/07/2022;36550
11/07/2022;39650
18/07/2022;36850
25/07/2022;37700
01/08/2022;36700
08/08/2022;34550
15/08/2022;34450
22/08/2022;36150
29/08/2022;35300
05/09/2022;35050
12/09/2022;34850
19/09/2022;34450
26/09/2022;34350
03/10/2022;33450
10/10/2022;33300
17/10/2022;32700
24/10/2022;33000
31/10/2022;33800
07/11/2022;33600
14/11/2022;33550
21/11/2022;34150
28/11/2022;33550
05/12/2022;33400
12/12/2022;34650
19/12/2022;35950
26/12/2022;36550
