"Value(Dollars)","Yield(Unit/Acre)","HarvestedAcres","Price(Dollars/Unit)","Production"
"2125000","2.36","1660","542","3918"
"2662000","2.82","1725","548","4860"
"3342000","3.93","1610","528","6326"
"2137000","3.07","1640","424","5042"
"2103000","3.16","1672","398","5286"
"1802000","3.55","1501","338","5336"
"1749000","3.35","1465","356","4908"
"1794000","3.43","1458","358","5006"
"1548000","3.37","1216","378","4094"
"5432000","4.2","1812","713","7615"
"3023000","2.11","1628","880","3435"
"4282000","3.84","1286","867","4938"
"4474000","3.28","1531","890","5028"
"3626000","2.7","1572","854","4248"
"3829000","2.08","2050","899","4261"
"2833000","1.9","1709","871","3253"
"4866000","2.85","1662","1029","4730"
"10386000","4.71","1977","1116","9308"
"5267000","2.04","2141","1205","4370"
"8523000","3.57","2018","1182","7210"
"6498000","2.11","2602","1185","5483"
"10092000","2.91","3023","1147","8797"
"5398000","2.13","2255","1126","4793"
"7892000","3.21","2284","1077.41","7325"
"9052000","3.6","2526","995.38","9094"
"8552000","4.24","2169","930.68","9189"
"8004600","3.74","2281","937.97","8534"
"6455000","3.93","1916","857.69","7526"
"8586000","3.73","2526","911.76","9417"
"14025000","5.02","2410","1158.13","12110"
"11419000","5.63","2240","906.27","12600"
"11916000","3.47","2650","1296.63","9190"
"13764000","3.74","2940","1251.27","11000"
"15965000","5.82","2800","979.45","16300"
"15756000","4.38","2420","1486.42","10600"
"15208000","4.14","2400","1529.98","9940"
"18189000","4.83","2630","1432.2","12700"
"17802000","5.08","2420","1447.32","12300"
"27205000","5.34","3390","1503.04","18100"
"27205000","5.34","3390","1503.04","18100"
"19470000","5.14","2530","1497.69","13000"
