"Year","HarvestedAcres","HarvestedAcres(-1)","Price(Dollars/Unit)"
"1980","1660","","542"
"1981","1725","1660","548"
"1982","1610","1725","528"
"1983","1640","1610","424"
"1984","1672","1640","398"
"1985","1501","1672","338"
"1986","1465","1501","356"
"1987","1458","1465","358"
"1988","1216","1458","378"
"1989","1812","1216","713"
"1990","1628","1812","880"
"1991","1286","1628","867"
"1992","1531","1286","890"
"1993","1572","1531","854"
"1994","2050","1572","899"
"1995","1709","2050","871"
"1996","1662","1709","1029"
"1997","1977","1662","1116"
"1998","2141","1977","1205"
"1999","2018","2141","1182"
"2000","2602","2018","1185"
"2001","3023","2602","1147"
"2002","2255","3023","1126"
"2003","2284","2255","1077.41"
"2004","2526","2284","995.38"
"2005","2169","2526","930.68"
"2006","2281","2169","937.97"
"2007","1916","2281","857.69"
"2008","2526","1916","911.76"
"2009","2410","2526","1158.13"
"2010","2240","2410","906.27"
"2011","2650","2240","1296.63"
"2012","2940","2650","1251.27"
"2013","2800","2940","979.45"
"2014","2420","2800","1486.42"
"2015","2400","2420","1529.98"
"2016","2630","2400","1432.2"
"2017","2420","2630","1447.32"
"2018","3390","2420","1503.04"
"2019","3390","3390","1503.04"
"2020","2530","3390","1497.69"
